,,,,
County,%_Adult_Obese,Food_Environment_Index,%_Fair/Poor_health,%_Physically_Inactive
Sutton,30,8.7,,25
Swisher,29,6.5,,30
Tarrant,29,6.4,15,24
Taylor,28,6.0,17,25
Terrell,28,3.3,,30
Terry,34,5.6,24,28
Throckmorton,29,4.2,,28
Titus,30,6.7,18,25
Tom Green,28,6.4,19,28
Travis,21,6.4,13,16
Trinity,32,6.6,24,31
Tyler,31,4.4,26,30
Upshur,33,6.8,,33
Upton,31,7.7,,28
Uvalde,30,5.4,20,28
Val Verde,28,6.5,31,26
Van Zandt,34,7.2,21,36
Victoria,33,6.3,23,25
Walker,30,5.2,16,27
Waller,31,6.6,,26
Ward,30,6.7,,27
Washington,28,6.6,,26
Webb,31,6.9,26,27
Wharton,31,6.5,20,30
Wheeler,29,7.9,,29
Wichita,32,5.9,20,29
Wilbarger,29,6.1,,28
Willacy,30,6.5,,27
Williamson,28,7.2,12,18
Wilson,28,8.2,18,27
Winkler,31,8.4,,25
Wise,30,7.8,14,26
Wood,30,7.0,22,28
Yoakum,30,8.4,,28
Young,27,6.0,25,29
Zapata,31,5.1,28,28
Zavala,28,4.6,,28
